Trabalho de uma força;O trabalho de uma força é a sua componente, na direção do movimento, multiplicada pelo deslocamento. | # Força constante
 | w = F.d.cosO
 | F -> Força
 | d -> deslocamento | O -> ângulo entre o vetor força e o deslocamento
 | OBS.: O trabalho será positivo se a força for no mesmo sentido do deslocamento. O trabalho é negativo se a força for sentido contrário ao movimento.
 | # Trabalho da força peso
 | w = p.h
 | P -> peso do corpo
 | h -> altura
 | OBS.: O trabalho do peso indepente da trajetória
 | # Potências | Potência é dada pela quantidade de trabalho exercido em um intervalo de tempo
 | P = w/ Delta(t) | Podemos calcular a potência de uma força usando: | P = F.v | F -> força | v -> velocidade do corpo;fisica2;1;5
